Pet ID,Name,Status,Publish Date,Organization ID,City,State,Breed,Age,Gender,Size,Spayed or Neutered,House Trained,Special Needs,Shots Current,Date Collected,Days Available
54256062,Midnight- In Foster,adoptable,2022-01-16,GA423,Chamblee,GA,Mixed Breed,Senior,Female,Large,True,False,False,False,2022-04-26,100
54255558,Dusty,adoptable,2022-01-16,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,True,False,False,False,2022-04-26,100
55397577,Sd-12,adoptable,2022-04-25,GA357,Lawrenceville,GA,Pit Bull Terrier,Adult,Male,Large,False,False,False,True,2022-04-26,1
55160383,Lincoln,adoptable,2022-03-30,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,True,False,False,False,2022-04-26,27
54255917,Dewy - In Foster,adoptable,2022-01-16,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,True,False,False,False,2022-04-26,100
54393840,Gadget,adoptable,2022-01-26,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,True,False,False,False,2022-04-26,90
54992404,Homie,adoptable,2022-03-16,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Medium,True,False,False,False,2022-04-26,41
54280237,Ezra,adoptable,2022-01-18,GA217,Atlanta,GA,Pit Bull Terrier,Adult,Female,Medium,True,False,False,False,2022-04-26,98
55226982,Pen 106 Lloyd,adoptable,2022-04-06,GA357,Lawrenceville,GA,Pit Bull Terrier,Adult,Male,Large,True,False,False,True,2022-04-26,20
55069160,Connell,adoptable,2022-03-22,GA217,Atlanta,GA,Pit Bull Terrier,Adult,Male,Large,False,False,False,False,2022-04-26,35
55208376,Mako,adoptable,2022-04-05,GA335,Atlanta,GA,Mixed Breed,Young,Male,Large,True,False,False,False,2022-04-26,21
49988689,Nala,adoptable,2020-12-08,GA535,Dunwoody,GA,Boxer,Adult,Female,Large,True,True,False,True,2022-04-26,504
54711726,Mabel (Run 20),adoptable,2022-02-22,GA733,Columbus,GA,Mixed Breed,Adult,Female,Medium,True,False,False,True,2022-04-26,63
55366006,Finnegan 04-2148,adoptable,2022-04-21,GA926,Tyrone,GA,Chow Chow,Baby,Female,Small,False,False,False,True,2022-04-26,5
55294742,Tango 04-1324,adoptable,2022-04-13,GA926,Tyrone,GA,Dachshund,Young,Male,Small,False,False,False,True,2022-04-26,13
55330054,Precious,adoptable,2022-04-18,GA1020,Jackson,GA,American Bulldog,Adult,Female,Medium,False,False,False,False,2022-04-26,8
54925773,Cher,adoptable,2022-03-10,GA152,Washington,GA,Shepherd,Adult,Female,Large,False,False,False,True,2022-04-26,47
54256005,Rocky - In Foster,adoptable,2022-01-16,GA423,Chamblee,GA,Mixed Breed,Senior,Male,Large,True,False,False,False,2022-04-26,100
55206468,Brownie,adoptable,2022-04-04,GA718,Columbus,GA,English Pointer,Adult,Male,Medium,True,False,False,True,2022-04-26,22
55138894,Rambo,adoptable,2022-03-29,GA217,Atlanta,GA,Pit Bull Terrier,Adult,Male,Medium,False,False,False,False,2022-04-26,28
43939244,Darwin,adoptable,2019-02-05,GA914,Decatur,GA,Retriever,Senior,Male,Extra Large,True,False,True,True,2022-04-26,1176
54253048,Rocko (In Foster),adoptable,2022-01-16,GA335,Atlanta,GA,Mixed Breed,Senior,Male,Large,True,False,False,False,2022-04-26,100
55346173,Pecan,adoptable,2022-04-19,GA217,Atlanta,GA,Pit Bull Terrier,Adult,Female,Medium,False,False,False,False,2022-04-26,7
54256149,Miss Bee Haven,adoptable,2022-01-16,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Large,True,False,False,False,2022-04-26,100
55034565,Little Miss (Baby Girl),adoptable,2022-03-19,GA66,Albany,GA,Pit Bull Terrier,Young,Female,Medium,False,False,False,True,2022-04-26,38
50186982,Cami,adoptable,2021-01-03,GA914,Decatur,GA,Catahoula Leopard Dog,Senior,Female,Large,True,True,False,True,2022-04-26,478
55183573,Margie Marinara (Adopted),adoptable,2022-04-01,GA335,Atlanta,GA,Mixed Breed,Young,Female,Large,True,False,False,False,2022-04-26,25
54181824,Taurus,adoptable,2022-01-11,GA99,Macon,GA,Mixed Breed,Young,Male,Large,True,False,False,False,2022-04-26,105
55136969,Columbia,adoptable,2022-03-28,GA217,Atlanta,GA,Pit Bull Terrier,Adult,Female,Large,True,False,False,False,2022-04-26,29
54255766,Broly,adoptable,2022-01-16,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Medium,False,False,False,False,2022-04-26,100
55382415,Sd-17D Hubba,adoptable,2022-04-23,GA357,Lawrenceville,GA,Terrier,Adult,Male,Small,False,False,False,True,2022-04-26,3
49710624,Jupiter,adoptable,2020-11-06,GA793,Macon,GA,Carolina Dog,Adult,Female,Medium,True,True,False,True,2022-04-26,536
54256122,Cristina,adoptable,2022-01-16,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Large,True,False,False,False,2022-04-26,100
48295391,Buddy Boy (3),adoptable,2020-06-23,GA174,Forsyth,GA,Labrador Retriever,Adult,Male,Large,True,True,False,True,2022-04-26,672
55131501,Strawberry Shortcake,adoptable,2022-03-28,GA150,Madison,GA,Labrador Retriever,Baby,Female,Medium,True,False,False,True,2022-04-26,29
54941994,Pinto 03-1116,adoptable,2022-03-11,GA926,Tyrone,GA,Pit Bull Terrier,Baby,Male,Small,True,False,False,True,2022-04-26,46
54912868,Winnie (Aka Penny),adoptable,2022-03-09,GA508,Atlanta,GA,Labrador Retriever,Adult,Female,Medium,True,True,False,True,2022-04-26,48
55281148,Pen 151 Wagner,adoptable,2022-04-12,GA357,Lawrenceville,GA,Pit Bull Terrier,Young,Male,Large,True,False,False,True,2022-04-26,14
53889764,Coco,adoptable,2021-12-13,GA1020,Jackson,GA,American Staffordshire Terrier,Adult,Female,Large,True,True,False,True,2022-04-26,134
47678331,Clint Eastwood,adoptable,2020-03-22,GA902,Augusta,GA,Shar-Pei,Adult,Male,Large,False,False,False,False,2022-04-26,765
54255555,Aphrodite- In Foster,adoptable,2022-01-16,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Large,True,False,False,False,2022-04-26,100
55192469,Stuart Wiggle,adoptable,2022-04-03,GA217,Atlanta,GA,Black Mouth Cur,Baby,Male,Small,True,False,False,False,2022-04-26,23
55304165,Chica,adoptable,2022-04-14,GA862,Athens,GA,Mixed Breed,Young,Female,Medium,False,False,False,False,2022-04-26,12
55304095,Lana,adoptable,2022-04-14,GA862,Athens,GA,Mixed Breed,Adult,Female,Large,False,False,False,False,2022-04-26,12
54459136,Mitch (Run 40),adoptable,2022-01-31,GA733,Columbus,GA,Mixed Breed,Adult,Male,Large,True,False,False,True,2022-04-26,85
