Pet ID,Organization ID,City,State,Breed,Age,Gender,Size,Spayed or Neutered,House Trained,Special Needs,Shots Current,Good With Children
55380260,GA75,Hamilton,GA,Terrier,Adult,Female,Medium,True,False,False,False,
55104289,GA1020,Jackson,GA,Staffordshire Bull Terrier,Young,Male,Medium,True,False,False,True,True
54519926,GA299,Douglasville,GA,Pit Bull Terrier,Adult,Female,Medium,False,False,False,True,
55338330,GA336,Lawrenceville,GA,Chihuahua,Adult,Female,Small,True,False,False,True,False
55319638,GA357,Lawrenceville,GA,Labrador Retriever,Adult,Female,Medium,True,False,False,True,
55155664,GA357,Lawrenceville,GA,Siberian Husky,Adult,Male,Medium,True,False,False,True,
55276082,GA207,Newnan,GA,Pomeranian,Young,Male,Small,True,True,False,True,
55045169,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,False,False,False,False,
53622090,GA217,Atlanta,GA,Labrador Retriever,Adult,Female,Medium,True,False,False,False,
54870516,GA76,Winder,GA,Boxer,Young,Female,Large,True,False,False,False,True
