Pet ID,Name,Status,Publish Date,Organization ID,City,State,Breed,Age,Gender,Size,Coat,Spayed or Neutered,House Trained,Special Needs,Shots Current
54269306,Bo (LOOKING FOR HOSPICE CARE),adoptable,2022-01-17T15:56:59+0000,GA697,Atlanta,GA,Whippet,Senior,Male,Medium,,True,True,False,True
55377807,MARTIN,adoptable,2022-04-22T22:48:16+0000,GA217,Atlanta,GA,Chihuahua,Young,Male,Small,,False,False,False,False
55392080,Sassy,adoptable,2022-04-25T01:08:05+0000,GA250,Atlanta,GA,Chihuahua,Adult,Female,Small,Short,True,True,False,True
54697737,Nala (lyla),adoptable,2022-02-21T06:08:26+0000,GA299,Douglasville,GA,Labrador Retriever,Adult,Female,Medium,,True,False,False,True
55312285,BRUCE,adoptable,2022-04-15T19:43:42+0000,GA217,Atlanta,GA,Labrador Retriever,Young,Male,Large,,True,False,False,False
54255728,Vesimir,adoptable,2022-01-16T22:06:38+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,,False,False,False,False
55402164,50045494,adoptable,2022-04-26T00:06:13+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Female,Large,,False,False,False,False
52212543,Kash,adoptable,2021-07-02T20:57:38+0000,GA862,Athens,GA,Mixed Breed,Adult,Male,Large,,True,False,False,False
53249806,Louie,adoptable,2021-10-13T16:21:13+0000,GA204,Danielsville,GA,Pit Bull Terrier,Young,Male,Medium,,True,False,False,True
55368552,MarliB,adoptable,2022-04-22T00:28:09+0000,GA665,Peachtree City,GA,Australian Shepherd,Young,Female,Large,,True,True,False,True
55078902,Howie,adoptable,2022-03-23T10:06:08+0000,GA150,Madison,GA,Australian Shepherd,Young,Male,Medium,,True,False,False,True
52719913,BEEF,adoptable,2021-08-19T22:34:10+0000,GA217,Atlanta,GA,American Bulldog,Adult,Male,Medium,,True,False,False,False
55118924,Herbo-ADOPTED,adoptable,2022-03-26T16:06:26+0000,GA423,Chamblee,GA,Mixed Breed,Adult,Male,Large,,False,False,False,False
55302809,Rocko,adoptable,2022-04-14T19:35:21+0000,GA787,Peachtree City,GA,Rottweiler,Adult,Male,Large,,True,False,False,True
52953757,Raggedy Ann,adoptable,2021-09-12T00:52:27+0000,GA244,Monticello,GA,Aussiedoodle,Adult,Female,Large,Curly,True,True,False,True
54711622,Junior (run 1) ,adoptable,2022-02-22T18:35:48+0000,GA733,Columbus,GA,Mixed Breed,Adult,Male,Large,Short,True,False,False,True
